Message;Group;DK;EN;Parent
currencyUpdated;success;Valutaen er opdateret;The currency has been updated;
grpDeleted;success;Gruppen er slettet;The group has been deleted;
grpNew;success;Gruppen er oprettet;The group has been added;
grpUpdated;success;Gruppen er opdateret;The group has been updated;
itemDeleted;success;Varen er slettet;The item has been deleted;
itemNew;success;Varen er oprettet; unit of measure has been created;
itemUpdated;success;Varen er opdateret;The item has been updated;
loginSuccess;success;Du er nu logget ind;You are now logged into the system;
logoutSuccess;success;Du er nu logget ud;You are now logged out of the system;
msgDeleted;success;Beskeden er slettet;The message has been deleted;
msgNew;success;Beskeden er oprettet;The message has been added;
msgUpdated;success;Beskeden er opdateret;The message has been updated;
passwordChanged;success;Dit kodeord er nu opdateret;Your password has been changed;
passwordSet;success;Dit kodeord er nu registreret;Your password has been assigned to your account;
profileConfirmed;success;Din profil er nu bekræftet;Your profile is now confirmed;
success;success;Success;Success;
termDeleted;success;Betalingsbetingelsen er slettet;the payment term has been deleted;
termsNew;success; er oprettet; unit of measure has been created;
termsUpdated;success;Betalingsbetingelsen er opdateret;The payment term has been updated;
uomDeleted;success;Måleenheden er slettet;The unit of measure has been deleted;
uomNew;success;Måleenheden er oprettet;The unit of measure has been created;
uomUpdated;success;Måleenheden er opdateret;The unit of measure has been updated;
userCreated;success;Bruger er nu oprettet;User has been created;
userDeleted;success;Brugeren er nu slettet;The user has been deleted;
userUpdated;success;Brugeren er opdateret;The user has been updated;
adminTitle;title;Administrer system;System administration;
companyTitle;title;Virksomhed;Company;
countryTitle;title;Lande;Countries;
currencyTitle;title;Valuta;Currencies;
emailGroupTitle;title;Bruger / email grupper;User / Email groups;
invoicesTitle;title;Fakturaer;Invoices;
itemTitle;title;Varer;Items;
loginTitle;title;Log ind;Login;
msgGrpTitle;title;Besked grupper;Message groups;
msgTitle;title;Beskeder;Messages;
newCountryTitle;title;Nyt land;New country;
newCurrencyTitle;title;Ny valuta;New currency;
newGroupTitle;title;Ny gruppe;New group;
newItemTitle;title;Ny vare;New item;
newMessageTitle;title;Ny besked;New message;
newMsgGrpTitle;title;Ny Besked gruppe;New message group;
newPassword;title;Angiv nyt kodeord;Enter new password;
newTermsTitle;title;Ny betalingsbetingelse;New payment term;
newUOMTitle;title;Ny måleenhed;New unit of measure;
newUserTitle;title;Ny bruger;New user;
notAuthorized;title;Du har ikke tilladelse til at se dette indhold;You are not authorized for this content;
notFound;title;Siden kunne ikke findes;The page could not be found;
registerTitle;title;Registrer konto;Register account;
setPasswordTitle;title;Du skal angive et kodeord før du kan bruge systemet;You must set a password before you can use the system;
settingsTitle;title;Indstillinger;Settings;
subscriptionTitle;title;Abonnement;Subscription;
termsTitle;title;Betalingsbetingelser;Payment terms;
UOMTitle;title;Måleenheder;Units of measure;
updateCountryTitle;title;Opdater land;Update country;
updateCurrencyTitle;title;Opdater valuta;Update currency;
updateGroupTitle;title;Rediger gruppe;Edit group;
updateItemTitle;title;Opdater vare;Update item;
updateMessageTitle;title;Rediger besked;Edit message;
updateMsgGrpTitle;title;Rediger Besked gruppe;Edit message group;
updateTermsTitle;title;Opdater betalingsbetingelse;Update payment term;
updateUOMTitle;title;Rediger måleenhed;Update unit of measure;Country
updateUserTitle;title;Rediger bruger;Edit user;
userGrpTitle;title;Bruger grupper;user groups;
userProfileTitle;title;Brugerprofil;User profile;
usersTitle;title;Brugere;Users;
userTitle;title;Bruger;User;
yourProfileTitle;title;Din profil;Your profile;
validateEmail;validate;Indtast venligst en gyldig email adresse;Please enter a valid email address;
validateRequired;validate;Dette felt skal udfyldes;This field is required;
indexView;view;Hjem;Home;
adminBP.adminView;view;Administrer;Administrate;indexView
adminBP.messageGroupView;view;Besked gruppe;Message Group;adminBP.adminView
adminBP.messageView;view;Besked;Message;adminBP.adminView
authBP.loginView;view;Log ind;Login;indexView
authBP.registerView;view;Registrer konto;Register new account;indexView
authBP.setPasswordView;view;Angiv kodeord;Set password;indexView
settingsBP.companyView;view;Virksomhed;Company;indexView
settingsBP.settingsView;view;Indstillinger;Settings;indexView
userBP.groupView;view;Bruger grupper;User groups;indexView
userBP.userView;view;Brugerstyring;User management;indexView
userBP.userProfileView;view;Profil;Profile;indexView
userBP.changePasswordView;view;Skift kodeord;Change password;userBP.userProfileView
warning;warning;Advarsel;Warning;
grpHasUsers;error;Gruppe kan ikke slettes da der er brugere tilknyttet;Group cannot be deleted since there are users assigned to it;
